id,source_id,download_url,retrieved_at,local_path,storage_uri,sha256,media_type,size_bytes,image_width,image_height,license_name,license_url,rights_checked_at,attribution,download_status,commercial_use,derivative_use,redistribution_status,notes
asset-0001,src-0001,https://museum.seoul.go.kr:8088/component/archv/data/ND_archvFileDownload.tmb?fileSn=1098&fileId=026d2d85-e2f5-4673-bf8d-5a9ed6163bee,2026-09-08,data/maps/src-0001/asset-0001.jpg,,f5b791653d008346d9eaa5dc612e498175f28f6ecf579d1c56c7082df36267f0,image/jpeg,2836782,3124,2743,공공누리 제1유형 (출처표시),https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY780&fileId=026d2d85-e2f5-4673-bf8d-5a9ed6163bee&fileSn=1098&type=C&upperNodeId=CTGRY780,2026-09-08,"서울역사박물관, 도성대지도, 서울역사아카이브",allowed,conditional,conditional,conditional,상세 페이지 공공누리 제1유형 표시 확인; 출처표시 조건 준수 필요. 개인 / 기타 / 조선시대 한양 모습 탐구 제출 후 다운로드. 최고 해상도 여부 미확인. 전체 구조 참고용; 세부 판독 적합성 미평가. 필요 구역의 부분도·고해상도 원본 후속 조사. 현재 서버에서 2026-09-08 재취득; 기존 SHA-256 일치 및 JPEG 디코딩 확인.
asset-0002,src-0002,https://museum.seoul.go.kr:8088/component/archv/data/ND_archvFileDownload.tmb?fileSn=1100&fileId=fe073a1b-2a35-41c6-98da-3c21d7a4ba20,2026-09-08,data/maps/src-0002/asset-0002.jpg,,90cc037e4f78d3f0fa65b7f350a902cee9599b0a52d4c5554a542c866f037a9b,image/jpeg,2313888,2854,2000,공공누리 제1유형 (출처표시),https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY780&fileId=fe073a1b-2a35-41c6-98da-3c21d7a4ba20&fileSn=1100&type=C&upperNodeId=CTGRY780,2026-09-08,"서울역사박물관, 도성대지도(부분도8_ 운종가, 청계천 일대), 서울역사아카이브",allowed,conditional,conditional,conditional,개별 상세 페이지의 공공누리 제1유형 표시 확인; 출처표시 조건 준수 필요. 개인 / 기타 / 조선시대 한양 모습 탐구 제출 후 다운로드. JPEG 디코딩 확인. 최고 해상도 여부 및 세부 판독 적합성 미평가.
asset-0003,src-0008,https://museum.seoul.go.kr/common/file/NR_download.do?id=b52448e6-5ed4-49db-a5ce-b7af1c2a856c,2026-09-08,data/cadastral/src-0008/asset-0003.pdf,,6d3bd779a8dc73a2f44cd4c5cf7d8c2c89e443a7a28d2785756e0ae663ecab8e,application/pdf,92868457,,,개별 파일 이용조건 미확인,https://museum.seoul.go.kr/www/board/NR_boardView.do?bbsCd=1012&seq=20150316095605491&sso=ok,2026-09-08,"서울역사박물관, 1908 한성부지적도 (2015 영인 도록)",allowed,unknown,unknown,unknown,"공식 첨부파일로 취득한 2015 영인 도록; 208쪽. PDF 인쇄 허용, 복사·변경·주석 비허용 표시. 연구용 로컬 보관; 재배포·파생물 권리는 미확인."
asset-0004,src-0009,https://museum.seoul.go.kr:8088/component/archv/data/ND_archvFileDownload.tmb?fileSn=300&fileId=H-TRNS-93719-790,2026-09-08,data/cadastral/src-0009/asset-0004.jpg,,09610bedc6f837f2ec3deebdc7e65e70156eeac7d4907f2f8fdb97550a96a1f0,image/jpeg,3306063,3000,2369,공공누리 제1유형 (출처표시),https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93719-790,2026-09-08,"서울역사박물관, 한성부 서서 여경방도 사매지내 제1호",allowed,conditional,conditional,conditional,해당 상세 공공누리 제1유형 확인. 지정 목적 개인/기타/조선시대 한양 모습 탐구 제출 후 취득. JPEG 디코딩 확인; 최고 해상도 미확인.
asset-0005,src-0010,https://museum.seoul.go.kr:8088/component/archv/data/ND_archvFileDownload.tmb?fileSn=300&fileId=H-TRNS-93711-790,2026-09-08,data/cadastral/src-0010/asset-0005.jpg,,d052b9d1afa8f86735c5d22e6b86620b771baac539dcced41338a6bbca238e9f,image/jpeg,3024489,3000,2201,공공누리 제1유형 (출처표시),https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93711-790,2026-09-08,"서울역사박물관, 한성부 중서 관인방도 사매지내 제1호",allowed,conditional,conditional,conditional,해당 상세 공공누리 제1유형 확인. 지정 목적 개인/기타/조선시대 한양 모습 탐구 제출 후 취득. JPEG 디코딩 확인; 최고 해상도 미확인.
asset-0006,src-0011,https://museum.seoul.go.kr:8088/component/archv/data/ND_archvFileDownload.tmb?fileSn=300&fileId=H-TRNS-93726-790,2026-09-08,data/cadastral/src-0011/asset-0006.jpg,,3616d3dd29dbf23cdac9536d3c17d5ab5adba8aa06662abcff93e1f6ede9127d,image/jpeg,3266691,3000,2369,공공누리 제1유형 (출처표시),https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93726-790,2026-09-08,"서울역사박물관, 한성부 서서 적선방도 육매지내 제6호",allowed,conditional,conditional,conditional,해당 상세 공공누리 제1유형 확인. 지정 목적 개인/기타/조선시대 한양 모습 탐구 제출 후 취득. JPEG 디코딩 확인; 최고 해상도 미확인.
asset-0007,src-0012,https://theme.archives.go.kr/viewer/common/getArchWebViewerDown.do?filePath=F%3A%2FContents%2Fn%2Foriginalmap%2FBJCA000149%2F0001%2FBJCA000149_0001_0001_1.tiff&fileExt=jpg&waterMarkFlag=N,2026-09-08,data/cadastral/src-0012/asset-0007.jpg,,803936020eed742ea5d73be4e50895bf282340ff30783411c776407daf4dee9c,image/jpeg,1250203,2380,1862,공공누리 제1유형 (출처표시),https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508321&docid=0014177167&mngno=BJCA000149&want=1&formType=oldName,2026-09-08,"국가기록원, 1912 경성부 지적원도 — 관철동 0001",allowed,conditional,conditional,conditional,철 상세의 해당 건 공공누리 제1유형 확인. 공식 뷰어 JPG 변환 제공본; 원본 TIFF 아님. 뷰어 기본값 waterMark=01에 따른 waterMarkFlag=N. JPEG 디코딩 확인; 세부 판독 미평가.
asset-0008,src-0013,https://theme.archives.go.kr/viewer/common/getArchWebViewerDown.do?filePath=F%3A%2FContents%2Fn%2Foriginalmap%2FBJCA000153%2F0001%2FBJCA000153_0001_0001_1.tiff&fileExt=jpg&waterMarkFlag=N,2026-09-08,data/cadastral/src-0013/asset-0008.jpg,,2d8aab765a25d77e406f69b659becbed3d446dfaec831ed35f31bb4bc95e365c,image/jpeg,1202277,2380,1862,공공누리 제1유형 (출처표시),https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508313&docid=0049403247&mngno=BJCA000153&want=1&formType=oldName,2026-09-08,"국가기록원, 1912 경성부 지적원도 — 인사동 0001",allowed,conditional,conditional,conditional,철 상세의 해당 건 공공누리 제1유형 확인. 공식 뷰어 JPG 변환 제공본; 원본 TIFF 아님. 뷰어 기본값 waterMark=01에 따른 waterMarkFlag=N. JPEG 디코딩 확인; 세부 판독 미평가.
asset-0009,src-0014,https://theme.archives.go.kr/viewer/common/getArchWebViewerDown.do?filePath=F%3A%2FContents%2Fn%2Foriginalmap%2FBJCA000146%2F0001%2FBJCA000146_0001_0001_1.tiff&fileExt=jpg&waterMarkFlag=N,2026-09-08,data/cadastral/src-0014/asset-0009.jpg,,ce89d0e62f055d27881354eae7d943bbc46ff5b394d5dae16ccb9d90785b8264,image/jpeg,828904,2380,1862,공공누리 제1유형 (출처표시),https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508318&docid=0050576775&mngno=BJCA000146&want=1&formType=oldName,2026-09-08,"국가기록원, 1912 경성부 지적원도 — 낙원동 0001",allowed,conditional,conditional,conditional,철 상세의 해당 건 공공누리 제1유형 확인. 공식 뷰어 JPG 변환 제공본; 원본 TIFF 아님. 뷰어 기본값 waterMark=01에 따른 waterMarkFlag=N. JPEG 디코딩 확인; 세부 판독 미평가.
asset-0010,src-0015,https://theme.archives.go.kr/viewer/common/archWebViewerStream.do?filePath=F%3A%2FContents%2Fn%2Foriginalmap%2FBJCA000147%2F0001%2FBJCA000147_0001_0001_1.tiff&pageInfo=1,2026-09-08,data/cadastral/src-0015/asset-0010.jpg,,d65ff0c7556b44f582f08e7268acfa6b23714bab74cd22a7b85ecb9123a83363,image/jpeg,1224870,2380,1938,공공누리 제1유형 (출처표시),https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?packid=0000508319&docid=0014177165&mngno=BJCA000147&type=12&want=1,2026-09-08,"국가기록원, 1912 경성부 지적원도 — 경운동 0046",allowed,conditional,conditional,conditional,철 상세 해당 건 공공누리 제1유형 확인. JPG 다운로드는 오류 HTML; 공식 뷰어 표시용 스트림 JPEG 확보. 다운로드 원본으로 간주하지 않음. TIFF 원파일 아님. Pillow 전체 디코딩 검사 통과.
